second,Volt
-39.0000E-09,-6.1249990249E-03
-38.5000E-09,-2.9999990947E-03
-38.0000E-09,+2.0000007936E-03
-37.5000E-09,+20.7500003744E-03
-37.0000E-09,+18.2500004302E-03
-36.5000E-09,+2.6250007795E-03
-36.0000E-09,-7.3749989970E-03
-35.5000E-09,-9.2499989551E-03
-35.0000E-09,-7.9999989830E-03
-34.5000E-09,-4.2499990668E-03
-34.0000E-09,-499.9991505E-06
-33.5000E-09,+44.4999998435E-03
-33.0000E-09,+40.1249999411E-03
-32.5000E-09,-27.9999985360E-03
-32.0000E-09,-29.2499985080E-03
-31.5000E-09,-15.4999988153E-03
-31.0000E-09,-12.3749988852E-03
-30.5000E-09,-4.2499990668E-03
-30.0000E-09,-499.9991506E-06
-29.5000E-09,+10.1250006119E-03
-29.0000E-09,+22.6250003324E-03
-28.5000E-09,+12.6250005559E-03
-28.0000E-09,-3.6249990808E-03
-27.5000E-09,-9.8749989411E-03
-27.0000E-09,-11.1249989131E-03
-26.5000E-09,-7.9999989830E-03
-26.0000E-09,-2.9999990947E-03
-25.5000E-09,+2.0000007938E-03
-25.0000E-09,+77.6249991028E-03
-24.5000E-09,-3.6249990809E-03
-24.0000E-09,-36.7499983403E-03
-23.5000E-09,-19.8749987175E-03
-23.0000E-09,-11.1249989131E-03
-22.5000E-09,-6.7499990109E-03
-22.0000E-09,-1.7499991227E-03
-21.5000E-09,+3.2500007656E-03
-21.0000E-09,+19.5000004023E-03
-20.5000E-09,+20.1250003883E-03
-20.0000E-09,+5.7500007096E-03
-19.5000E-09,-4.8749990529E-03
-19.0000E-09,-13.6249988573E-03
-18.5000E-09,-11.1249989131E-03
-18.0000E-09,-4.2499990668E-03
-17.5000E-09,-3.6249990807E-03
-17.0000E-09,+22.0000003466E-03
-16.5000E-09,+64.4999993962E-03
-16.0000E-09,-24.2499986198E-03
-15.5000E-09,-34.8749983822E-03
-15.0000E-09,-14.8749988293E-03
-14.5000E-09,-8.6249989690E-03
-14.0000E-09,-2.9999990947E-03
-13.5000E-09,-1.1249991366E-03
-13.0000E-09,+5.7500007097E-03
-12.5000E-09,+19.5000004023E-03
-12.0000E-09,+16.3750004721E-03
-11.5000E-09,+1.3750008074E-03
-11.0000E-09,-7.3749989970E-03
-10.5000E-09,-11.1249989131E-03
