second,Volt
+62.7296000E-06,+6.2011719647E-03
+62.7298000E-06,+3.9062500526E-03
+62.7300000E-06,-781.2500163E-06
+62.7302000E-06,-4.6875000727E-03
+62.7304000E-06,-7.0312501026E-03
+62.7306000E-06,-5.2246094513E-03
+62.7308000E-06,-3.9062500573E-03
+62.7310000E-06,-3.1250000447E-03
+62.7312000E-06,-1.5625000223E-03
+62.7314000E-06,-781.2500116E-06
+62.7316000E-06,-781.2500116E-06
+62.7318000E-06,-781.2500135E-06
+62.7320000E-06,-2.3437500349E-03
+62.7322000E-06,-2.3437500349E-03
+62.7324000E-06,-2.3437500349E-03
+62.7326000E-06,-2.3437500349E-03
+62.7328000E-06,-2.3437500359E-03
+62.7330000E-06,-3.1250000427E-03
+62.7332000E-06,+1.0E-12
+62.7334000E-06,+781.2500116E-06
+62.7336000E-06,+781.2500116E-06
+62.7338000E-06,+781.2500116E-06
+62.7340000E-06,+781.2500097E-06
+62.7342000E-06,-781.2500116E-06
+62.7344000E-06,-781.2500111E-06
+62.7346000E-06,-341.7968797E-06
+62.7348000E-06,+0.0E+00
+62.7350000E-06,+17.6E-12
+62.7352000E-06,+14.0625002721E-03
+62.7354000E-06,+64.0625009602E-03
+62.7356000E-06,+68.5546885257E-03
+62.7358000E-06,+71.8750009915E-03
+62.7360000E-06,+8.5937500769E-03
+62.7362000E-06,-32.0312504921E-03
+62.7364000E-06,-43.7500006531E-03
+62.7366000E-06,-44.6777350416E-03
+62.7368000E-06,-45.3125006465E-03
+62.7370000E-06,-22.6562503108E-03
+62.7372000E-06,-1.5625000123E-03
+62.7374000E-06,+7.0312501059E-03
+62.7376000E-06,+7.9101563687E-03
+62.7378000E-06,+8.5937501211E-03
+62.7380000E-06,+3.1250000406E-03
+62.7382000E-06,-1.5625000273E-03
+62.7384000E-06,-4.6875000705E-03
+62.7386000E-06,-5.1757813275E-03
+62.7388000E-06,-5.4687500815E-03
+62.7390000E-06,-5.4687500775E-03
+62.7392000E-06,-2.3437500329E-03
+62.7394000E-06,-781.2500111E-06
+62.7396000E-06,-341.7968796E-06
+62.7398000E-06,+1.0E-12
+62.7400000E-06,+781.2500127E-06
+62.7402000E-06,+1.5625000202E-03
+62.7404000E-06,-781.2500111E-06
+62.7406000E-06,-341.7968796E-06
+62.7408000E-06,-2.1E-12
